Symbol,Name,결산월,회계년,주기,asset,conm,regist_num,year
A267290,경동도시가스,12,2019,Annual,749999474 ,(주)경동도시가스,143-81-32491,2019
A267290,경동도시가스,12,2020,Annual,,(주)경동도시가스,143-81-32491,2020
A267290,경동도시가스,12,2021,Annual,,(주)경동도시가스,143-81-32491,2021
A021080,에이티넘인베스트,12,2017,Annual,78653355 ,(주)에이티넘인베스트먼트,124-81-36410,2017
A021080,에이티넘인베스트,12,2018,Annual,78550232 ,(주)에이티넘인베스트먼트,124-81-36410,2018
A021080,에이티넘인베스트,12,2019,Annual,84118566 ,(주)에이티넘인베스트먼트,124-81-36410,2019
A021080,에이티넘인베스트,12,2020,Annual,,(주)에이티넘인베스트먼트,124-81-36410,2020
A021080,에이티넘인베스트,12,2021,Annual,,(주)에이티넘인베스트먼트,124-81-36410,2021
A000220,유유제약,12,2017,Annual,121491153 ,(주)유유제약,123-81-01790,2017
A000220,유유제약,12,2018,Annual,135226315 ,(주)유유제약,123-81-01790,2018
A000220,유유제약,12,2019,Annual,137718627 ,(주)유유제약,123-81-01790,2019
A000220,유유제약,12,2020,Annual,,(주)유유제약,123-81-01790,2020
A000220,유유제약,12,2021,Annual,,(주)유유제약,123-81-01790,2021
A063440,SM Life Design,12,2017,Annual,45895630 ,(주)에스엠라이프디자인그룹,113-81-50713,2017
A063440,SM Life Design,12,2018,Annual,56362574 ,(주)에스엠라이프디자인그룹,113-81-50713,2018
A063440,SM Life Design,12,2019,Annual,60354837 ,(주)에스엠라이프디자인그룹,113-81-50713,2019
A063440,SM Life Design,12,2020,Annual,,(주)에스엠라이프디자인그룹,113-81-50713,2020
A063440,SM Life Design,12,2021,Annual,,(주)에스엠라이프디자인그룹,113-81-50713,2021
A011330,유니켐,12,2017,Annual,92818715 ,(주)유니켐,134-81-03920,2017
A011330,유니켐,12,2018,Annual,118585016 ,(주)유니켐,134-81-03920,2018
A011330,유니켐,12,2019,Annual,169681996 ,(주)유니켐,134-81-03920,2019
A011330,유니켐,12,2020,Annual,,(주)유니켐,134-81-03920,2020
A011330,유니켐,12,2021,Annual,,(주)유니켐,134-81-03920,2021
A043220,에이치엘비파워,12,2017,Annual,67116848 ,에이치엘비파워(주),214-81-91598,2017
A043220,에이치엘비파워,12,2018,Annual,55730869 ,에이치엘비파워(주),214-81-91598,2018
A043220,에이치엘비파워,12,2019,Annual,63428293 ,에이치엘비파워(주),214-81-91598,2019
A043220,에이치엘비파워,12,2020,Annual,,에이치엘비파워(주),214-81-91598,2020
A043220,에이치엘비파워,12,2021,Annual,,에이치엘비파워(주),214-81-91598,2021
A036670,KCI,12,2017,Annual,62710014 ,(주)케이씨아이,133-81-26385,2017
A036670,KCI,12,2018,Annual,65802558 ,(주)케이씨아이,133-81-26385,2018
A036670,KCI,12,2019,Annual,78286906 ,(주)케이씨아이,133-81-26385,2019
A036670,KCI,12,2020,Annual,,(주)케이씨아이,133-81-26385,2020
A036670,KCI,12,2021,Annual,,(주)케이씨아이,133-81-26385,2021
A158430,아톤,12,2017,Annual,12822453 ,(주)아톤,107-81-71649,2017
A158430,아톤,12,2018,Annual,22394837 ,(주)아톤,107-81-71649,2018
A158430,아톤,12,2019,Annual,58962831 ,(주)아톤,107-81-71649,2019
A158430,아톤,12,2020,Annual,,(주)아톤,107-81-71649,2020
A158430,아톤,12,2021,Annual,,(주)아톤,107-81-71649,2021
A034590,인천도시가스,12,2017,Annual,389429551 ,인천도시가스(주),137-81-02459,2017
A034590,인천도시가스,12,2018,Annual,347800979 ,인천도시가스(주),137-81-02459,2018
A034590,인천도시가스,12,2019,Annual,365312455 ,인천도시가스(주),137-81-02459,2019
A034590,인천도시가스,12,2020,Annual,,인천도시가스(주),137-81-02459,2020
A034590,인천도시가스,12,2021,Annual,,인천도시가스(주),137-81-02459,2021
A250000,보라티알,12,2017,Annual,60853021 ,(주)보라티알,495-88-00211,2017
A250000,보라티알,12,2018,Annual,58124051 ,(주)보라티알,495-88-00211,2018
A250000,보라티알,12,2019,Annual,86622147 ,(주)보라티알,495-88-00211,2019
A250000,보라티알,12,2020,Annual,,(주)보라티알,495-88-00211,2020
A250000,보라티알,12,2021,Annual,,(주)보라티알,495-88-00211,2021
